ID	Group	Init. Comp.	I->D	D->R
Ind0	NA	NA	NA	NA
Ind1	NA	NA	NA	NA
Ind2	NA	NA	NA	NA
Ind3	NA	NA	NA	NA
Ind4	NA	NA	NA	NA
Ind5	NA	NA	NA	NA
Ind6	NA	NA	NA	NA
Ind7	NA	NA	NA	NA
Ind8	NA	NA	NA	NA
Ind9	NA	NA	NA	NA
Ind10	NA	NA	NA	NA
Ind11	NA	NA	NA	NA
Ind12	NA	NA	NA	NA
Ind380	15	S	no	no
Ind381	15	S	no	no
Ind382	15	S	no	no
Ind383	15	S	no	no
Ind384	15	S	no	no
Ind385	15	S	no	no
Ind386	15	S	no	no
Ind387	15	S	19.1837237419472	21.5151630735583
Ind388	15	S	no	no
Ind389	16	E	2.66202901286853	14.4745863562531
Ind390	16	E	1.98578258188994	18.6679650765494
Ind391	16	E	5.69502419800035	8.67873406648858
Ind392	16	E	4.26805632808359	7.4360583905217
Ind393	16	E	4.3747660995494	13.5541256991578
Ind394	16	S	no	no
Ind395	16	S	no	no
Ind396	16	S	no	no
Ind397	16	S	no	no
Ind398	16	S	no	no
Ind399	16	S	no	no
Ind400	16	S	no	no
Ind401	16	S	no	no
Ind402	16	S	no	no
Ind403	16	S	no	no
Ind404	16	S	no	no
Ind405	16	S	no	no
Ind406	16	S	no	no
Ind407	16	S	no	no
Ind408	16	S	no	no
Ind409	16	S	no	no
Ind410	16	S	no	no
Ind411	16	S	no	no
Ind412	16	S	no	no
Ind413	16	S	no	no
Ind414	17	E	10.4321835920532	14.3853187891131
Ind415	17	E	5.53324301192653	18.2910047384037
Ind416	17	E	3.23664185655847	10.9433888906909
Ind417	17	E	16.5329203717319	19.5782176443671
Ind418	17	E	3.19766383110219	6.8167698131691
Ind419	17	S	23.876827488414	30.928717508425
Ind420	17	S	18.5324396090502	22.4726420412794
Ind421	17	S	no	no
Ind422	17	S	no	no
Ind423	17	S	no	no
Ind424	17	S	21.3793014424585	28.621235721648
Ind425	17	S	24.7369679639061	26.0956778549125
Ind426	17	S	no	no
Ind427	17	S	no	no
Ind428	17	S	no	no
Ind429	17	S	no	no
Ind430	17	S	45.4221878701183	46.0748001889106
Ind431	17	S	14.2162605215783	17.3478371707257
Ind432	17	S	31.6320293135099	43.7891796856447
Ind433	17	S	no	no
Ind434	17	S	no	no
Ind435	17	S	47.7736218456294	53.185646118113
Ind436	17	S	40.1446987323932	47.0447057243173
Ind437	17	S	16.2347686228317	20.7536293712128
Ind438	17	S	no	no
Ind439	18	E	3.49633122682858	18.2676639884456
Ind440	18	E	1.15328542215056	23.0637422330301
Ind441	18	E	7.38304673481596	42.4956463520944
Ind442	18	E	6.50291512183493	11.3122832354124
Ind443	18	E	14.9218392529117	22.4322416609791
Ind444	18	S	34.6875061500135	39.0805530366403
Ind445	18	S	31.4708150609002	45.3774391025917
Ind446	18	S	no	no
Ind447	18	S	no	no
Ind448	18	S	no	no
Ind449	18	S	24.1139974678938	40.4627292562321
Ind450	18	S	no	no
Ind451	18	S	no	no
Ind452	18	S	6.31176277813706	11.7420819694751
Ind453	18	S	no	no
Ind454	18	S	33.8435632279461	34.498317014002
Ind455	18	S	35.2522621666795	41.2849951239125
Ind456	18	S	23.3202760005075	32.1914878477986
Ind457	18	S	24.1408223607178	30.731860030323
Ind458	18	S	41.0613993017301	43.9285080354681
Ind459	18	S	14.9535469361988	22.7566072971427
Ind460	18	S	11.550981768314	12.0661444663553
Ind461	18	S	24.8173584286113	39.1188005033194
Ind462	18	S	43.6106272687272	45.0007958326888
Ind463	18	S	6.9215580550769	7.71127229900517
Ind464	19	E	5.45036268216498	18.5041669634953
Ind465	19	E	1.6011238195895	5.24151361733461
Ind466	19	E	3.18864309396957	41.9681678506103
Ind467	19	E	10.7321571673101	17.0319036808911
Ind468	19	E	3.90533066403143	18.3953877989592
Ind469	19	S	no	no
Ind470	19	S	no	no
Ind471	19	S	no	no
Ind472	19	S	30.3771218937367	37.2267684959789
Ind473	19	S	no	no
Ind474	19	S	no	no
Ind475	19	S	no	no
Ind476	19	S	no	no
Ind477	19	S	no	no
Ind478	19	S	40.9737523762572	53.558333453933
Ind479	19	S	no	no
Ind480	19	S	16.6911420368082	17.124945619365
Ind481	19	S	no	no
Ind482	19	S	no	no
Ind483	19	S	no	no
Ind484	19	S	23.627610069794	40.7978867395348
Ind485	19	S	no	no
Ind486	19	S	no	no
Ind487	19	S	8.97555246693261	13.70797311748
Ind488	19	S	no	no
Ind489	20	E	6.27914482062561	8.18486071139656
Ind490	20	E	11.529237206651	12.5326360575689
Ind491	20	E	4.595394375974	5.31772258878273
Ind492	20	E	3.64248726127981	18.9352327639568
Ind493	20	E	2.5668043557279	30.9137588592025
Ind494	20	S	no	no
Ind495	20	S	24.8430438743531	35.2725388271742
Ind496	20	S	10.9194506564991	18.5166674570225
Ind497	20	S	9.71979891562689	17.7946505677108
Ind498	20	S	no	no
Ind499	20	S	no	no
Ind500	20	S	17.6973327215496	20.3780239090348
Ind501	20	S	47.0243750646606	54.2225650837116
Ind502	20	S	no	no
Ind503	20	S	no	no
Ind504	20	S	no	no
Ind505	20	S	no	no
Ind506	20	S	no	no
Ind507	20	S	33.10654867913	37.8285039542321
Ind508	20	S	34.0735520830491	38.0892120194174
Ind509	20	S	10.6534441147658	11.9021831482369
Ind510	20	S	no	no
Ind511	20	S	40.3968285206213	58.6081699414635
Ind512	20	S	no	no
Ind513	20	S	57.186761943018	61.9991020375646
Ind514	21	E	12.3462250370775	28.4113749443307
Ind515	21	E	0.774431279151283	1.45409292424298
Ind516	21	E	2.54760144002476	9.73381261310653
Ind517	21	E	16.4991237911681	34.5974298445447
Ind518	21	E	8.7854250333599	14.2021458049461
Ind519	21	S	no	no
Ind520	21	S	no	no
Ind521	21	S	no	no
Ind522	21	S	no	no
Ind523	21	S	49.5840303352644	61.8974832862909
Ind524	21	S	15.1731752413003	15.864170926127
Ind525	21	S	17.6402117336219	40.6638369977308
Ind526	21	S	38.9809005554873	46.1594612315033
Ind527	21	S	no	no
Ind528	21	S	no	no
Ind529	21	S	no	no
Ind530	21	S	38.3371772884531	41.7925550345832
Ind531	21	S	49.6745329804605	55.0329543929821
Ind532	21	S	18.1575943517651	26.1864294143775
Ind533	21	S	no	no
Ind534	21	S	no	no
Ind535	21	S	9.53596187708251	12.8182387548706
Ind536	21	S	41.3239683312812	55.7211378937203
Ind537	21	S	no	no
Ind538	21	S	45.3001056001655	49.7764732196724
Ind539	22	E	0.972429067218055	14.5373423983208
Ind540	22	E	1.85234521471087	4.64085818616712
Ind541	22	E	3.09180841292222	18.0294538506766
Ind542	22	E	1.95987391989396	2.05835058243334
Ind543	22	E	0.835239451062117	4.31854124209789
Ind544	22	S	no	no
Ind545	22	S	no	no
Ind546	22	S	no	no
Ind547	22	S	10.100696056075	13.5089853965962
Ind548	22	S	no	no
Ind549	22	S	no	no
Ind550	22	S	no	no
Ind551	22	S	no	no
Ind552	22	S	2.64401096359201	16.2147911928875
Ind553	22	S	3.26263725070835	8.20760285262751
Ind554	22	S	4.77509602397196	27.3098985598353
Ind555	22	S	no	no
Ind556	22	S	6.16361314092827	10.3100525205926
Ind557	22	S	no	no
Ind558	22	S	no	no
Ind559	22	S	23.531947221099	23.760195895609
Ind560	22	S	no	no
Ind561	22	S	no	no
Ind562	22	S	no	no
Ind563	22	S	no	no
Ind564	23	E	7.66366046118625	15.795691629233
Ind565	23	E	1.77419350164394	9.20620703690133
Ind566	23	E	7.14031532949527	10.7765810058636
Ind567	23	E	5.11671642162282	5.24530030923728
Ind568	23	E	1.71811133238439	10.4326391066222
Ind569	23	S	no	no
