ID	Group	Init. Comp.	Donor	S->E	E->I	I->D	D->R	f_a	f_e	g_a	g_e	r_a	r_e
Ind488	19	S	0	6.76578	7.94633	8.02822	8.17701	-0.566034	0.399375	-0.536591	0.198271	-0.737687	-0.745029
Ind489	20	E	1	no	10.2099	16.7309	24.3862	1.40579	-1.27267	0.295355	-0.830705	-0.865	1.78928
Ind490	20	E	1	no	3.59699	3.68001	4.92908	0.660472	-1.13895	0.495502	0.242767	-0.295081	-0.00473121
Ind491	20	E	1	no	1.0119	1.36141	14.0542	1.99522	-0.447997	-0.784912	0.337213	-1.21116	0.816135
Ind492	20	E	1	no	1.25013	1.95766	4.51021	1.22834	-1.14804	0.347033	0.472062	-0.407529	-0.204988
Ind493	20	E	1	no	3.42233	7.32322	13.4163	1.59957	-0.574706	0.542531	0.589045	-0.885573	1.52554
Ind494	20	S	0	1.08615	1.31021	2.77026	2.82193	0.184943	-0.194647	1.23237	1.42581	-0.711189	0.0873061
Ind495	20	S	0	3.1302	8.74665	9.26585	34.8221	0.916844	0.166156	0.807529	-0.333562	-0.43735	1.04567
Ind496	20	S	0	2.29553	2.46053	3.5916	22.0416	-0.858023	2.37694	1.43288	0.889446	-0.0780099	-0.835597
Ind497	20	S	0	2.82807	2.84257	3.46371	22.5893	-1.7326	0.8596	-0.519747	0.00736666	0.788963	-0.496242
Ind498	20	S	0	6.31237	15.6623	17.3705	79.5678	0.0765567	-2.50999	-0.248412	-0.510298	-0.288768	2.02195
Ind499	20	S	0	6.82455	23.2952	23.7116	35.966	-2.25586	0.843243	0.43792	-1.00092	0.184298	0.0949468
Ind500	20	S	0	no	no	no	no	-1.99556	-1.964	-1.24579	-1.2059	-0.0872645	1.01362
Ind501	20	S	0	4.48298	20.2657	25.1393	33.9663	-1.25526	0.149879	0.0396072	0.548432	0.00309213	0.739363
Ind502	20	S	0	97.3506	104.361	106.565	106.844	-3.20246	0.39926	-0.86001	-0.492694	0.809213	-0.459
Ind503	20	S	0	8.66485	9.32538	37.6073	62.2017	-3.73139	-0.954501	-0.981842	-0.0792047	0.18882	1.12476
Ind504	20	S	0	3.24355	16.3551	44.3633	46.4253	2.33517	-0.757536	2.09939	-1.47416	0.822837	-0.150954
Ind505	20	S	0	5.3931	5.66763	7.17939	7.1801	0.232049	-0.414808	0.419092	-0.17018	0.320661	-1.77275
